Player,Position,Age,Team,Games,Minutes,PER,TS,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,ORtg,DRtg,OWS,DWS,WS
Mario Chalmers,PG,27,MIA,73,2178,14,0.567,2.5,9.6,6.2,24.3,2.9,0.6,20.4,17.4,108,106,2.4,2.5,4.8
Zaza Pachulia,C,29,MIL,53,1325,14,0.502,11.8,17.1,14.4,16.3,1.8,0.9,18.5,17,105,111,1,0.7,1.7
J.R. Smith,SF,28,NYK,74,2421,14,0.527,1.7,13.1,7.2,15.1,1.4,0.7,9.6,21.6,106,111,2.5,1.2,3.7
Rodney Stuckey,SG,27,DET,73,1950,14,0.516,2.1,7.7,4.7,12.7,1.4,0.4,11.3,24.3,105,113,1.8,0.4,2.2
Dion Waiters,SG,22,CLE,70,2072,14,0.508,1.7,9,5.3,18.2,1.6,0.7,12.3,26.9,99,110,0.3,1.3,1.6
Marvin Williams,PF,27,UTA,66,1674,14,0.54,5.5,17.9,11.5,7.7,1.7,1.5,8.7,16.7,110,110,1.9,1,2.9
DeMarre Carroll,SF,27,ATL,73,2341,13.9,0.575,5.3,14.5,10,8.9,2.3,0.7,10.1,15.2,113,106,3.2,2.6,5.8
Danny Green,SG,26,SAS,68,1651,13.9,0.58,1.8,13.4,7.8,8.9,2,2.7,12.5,16.7,107,101,1.4,2.8,4.2
Andre Miller,SG,37,TOT,58,982,13.9,0.534,3.1,11.7,7.4,29.2,1.7,0.7,18.7,14.5,112,108,1.4,0.8,2.2
Anthony Morrow,SG,28,NOP,76,1426,13.9,0.57,2.3,9.2,5.7,6.7,1.4,0.7,8.4,19.4,112,113,2.1,0.3,2.4
Jameer Nelson,PG,31,ORL,68,2179,13.9,0.515,1.5,10.5,6,35.1,1.2,0.2,17.3,20.1,104,111,1.6,1.2,2.8
Ersan Ilyasova,PF,26,MIL,55,1478,13.8,0.486,8,18.8,13.3,8.4,1.6,0.4,8.7,21.3,103,111,0.9,0.8,1.6
Courtney Lee,SG,28,TOT,79,1973,13.8,0.574,1.7,9.5,5.6,9.3,1.7,1.2,9.9,17,113,107,2.8,1.9,4.7
Josh McRoberts,PF,26,CHA,78,2360,13.8,0.548,4,13.8,8.9,21.9,1.3,1.5,12.1,13.4,115,105,3.5,3,6.5
Andre Iguodala,SF,30,GSW,63,2040,13.7,0.57,2.9,12.6,7.8,18.2,2.3,0.7,16.2,13.3,113,103,2.7,3.1,5.8
Shawn Marion,SF,35,DAL,76,2409,13.7,0.537,6.4,17.4,11.9,7.6,1.9,1.3,11.4,15.7,108,108,2.2,2.1,4.3
Victor Oladipo,PG,21,ORL,80,2487,13.6,0.514,1.9,13.1,7.5,21.9,2.7,1.2,19.2,24.4,94,106,-1.4,2.8,1.3
Will Barton,SG,23,POR,41,387,13.5,0.488,4.5,16,10.3,13.3,1.2,1.3,9.6,21.2,103,107,0.3,0.4,0.6
